support_enlightenment_movement_desc;Подобно могучему факелу, несущему свет разума даже в самые темные уголки Старого и Нового Света, идеи Просвещения распространяются по всему миру. Поддержав это движение, мы, несомненно, серьезно повысим уровень нашей науки и философии, однако представления просветителей о свободе и неотъемлемых правах человека могут привести наших подданных к мысли о восстании.;А l’instar d’un puissant flambeau apportant l’йclairage de la raison dans les recoins les plus sombres de l’ancien et du nouveau mondes, les Lumiиres se propagent partout. Soutenir ce mouvement mиnera incontestablement а des avancйes dans les domaines de la science et de la philosophie, mais les notions de libertй humaine et de droits inaliйnables de l’Homme peuvent faire souffler un vent de rйbellion sur notre pays.;Wie eine mдchtige Fakel, die das Licht der Erleuchtung in die dunkelsten Ecken  der alten und neuen Welt bringt, verbreitet sich die Aufklдrung ьber die Welt. Wenn wir diese Bewegung unterstьtzen, werden wir uns in Wissenschaft und Philosophie weiterentwickeln, aber Dinge wie menschliche Freiheit und die unbedingten Menschenrechte kцnnten eine kleine rebellische Ader in unserem Land цffnen.;;Como una enorme antorcha, trayendo la luz de la razуn incluso a los rincones mбs sombrнos del viejo y nuevo mundo, la Ilustraciуn atraviesa el mundo. Apoyar a este movimiento sin duda llevarб a avances en ciencia y filosofнa, pero el cambio en las ideas sobre la libertad del hombre y sus derechos inalienables pueden provocar algo de fervor rebelde en nuestro paнs.;;;;;;;;;x;
introduce_heir_title;Представить двору наследника;Prйsentation de l’hйritier;Stellt Thronfolger vor;;Presenta heredero;;;;;;;;;x;
introduce_heir_desc;$HEIR$ входит в возраст. Давайте организуем при дворе церемонию официального представления наследника, чтобы каждый знал, кто станет нашим преемником на $COUNTRY_ADJ$ троне.;$HEIR$ a atteint sa majoritй. Permettez-nous d’organiser une prйsentation officielle а la cour, oщ nous pourrons reconnaоtre $HEIR$ comme l’hйritier prйsomptif au trфne $COUNTRY_ADJ$.;$HEIR$ ist aufgewachsen, es ist an der Zeit, eine formale Vorstellung vor dem Hof zu arrangieren, wo wir $HEIR$ offiziell als Nachfolger auf den $COUNTRY_ADJ$ Thron vorstellen.;;$HEIR$ es mayor de edad. Preparemos una presentaciуn formal a la corte, en la que podamos reconocer oficialmente a $HEIR$ como el primer heredero al trono $COUNTRY_ADJ$.;;;;;;;;;x;
heir_introduced;Представленный двору наследник;Hйritier prйsentй;Nachfolger vorgestellt;;Heredero presentado;;;;;;;;;x;
desc_heir_introduced;Мы официально представили нашего наследника двору, подготовив и двор, и весь мир к его будущему вступлению на престол.;Nous avons prйsentй un de nos hйritiers potentiels а la cour afin de prйparer le monde а son йventuelle accession au trфne.;Wir haben einen unserer mцglichen Nachfolger dem Hof vorgestellt um sowohl ihn als auch die Welt auf seine zukьnftige Ьbernahme des Throns vorzubereiten.;;Hemos presentado a uno de nuestros potenciales herederos a la corte, preparбndo a esta y al mundo para su posible subida al trono.;;;;;;;;;x;
commedia_dellarte;Комедия дель арте;Commedia dell'Arte;Commedia dell'Arte;;Commedia dell'Arte;;;;;;;;;x;
desc_commedia_dellarte;Изначально созданная в Италии и Франции, комедия дель арте была популярной в Европе формой театрального искусства в XVI-XVIII столетиях. Хотя ее истоки восходят к традициям греческого и римского театров, комедия дель арте была исключительно самобытна. Ее отличают яркие персонажи вроде Арлекина или Панталоне.;"La ""Commedia dell'Arte"" est une forme de thйвtre populaire qui connut son heure de gloire en Italie et en France entre le XVIe et le XVIIIe siиcles. Bien que ses origines remontent aux conventions thйвtrales grecques et romaines, la Commedia dell'arte fut nйanmoins une innovation originale dont les personnages comme ""Arlequin"" et ""Pantalon"" ont fait la renommйe.";Die 'Commedia dell'Arte' , entstanden in Italien und Frankreich, war eine populдre Theaterform im Europa des 16. bis 18. Jahrhundert. Wдhrend seine Wurzeln bis zu den Theaterkonventionen der Rцmer und Griechen zurьckverfolgt werden kцnnen, war die Commedia dell'arte dennoch eine Innovation, vor allem wegen ihrer Charactere wie 'Harlequin' und 'Pantalone'.;;Nacida originalmente en Italia y Francia, la 'Commedia dell'Arte' fue una forma de teatro popular en Europa entre los siglos XVI y XVIII. Aunque sus orнgenes se remontan al teatro griego y romano, la Commedia dell'arte fue sin embargo una innovaciуn, tal vez mбs recordada por sus personajes arquetнpicos como 'Arlequнn' y 'Pantalуn'.;;;;;;;;;x;
support_commedia_dellarte_title;Поддержать комедию дель арте;Spectacles de Commedia dell'Arte;Commedia dell'Arte ' Auffьhrungen;;Actuaciones de la Commedia dell'Arte;;;;;;;;;x;
support_commedia_dellarte_desc;Слушайте, слушайте! Пусть Панталоне, Арлекин и другие персонажи традиционной комедии дель арте свободно выступают перед нашим наивным населением, развлекая его разными кривляньями и фокусами. Хорошая комедия может заставить их забыть на время о том, что их жизнь проходит впустую в работе под ярмом тиранов. Кроме того, это же весело!;Oyez, oyez ! Offrons Pantalon, Arlequin et tous les autres personnages de la Commedia dell'Arte en pвture а votre population et voyons si elle se laisse divertir par leurs bouffonneries et autres manigances. Une bonne comйdie peut momentanйment faire oublier les rudesses de la vie quotidienne et la tyrannie des souverains. Et en plus, c’est amusant !;Hцrt, hцrt! Lasst los Pantalone, Harlequin, und all die anderen Charactere des traditionellen Commedia dell'Arte auf die Bevцlkerung und seht, wie sie von ihren Ausbrьchen unterhalten werden. Eine gute Komцdie kann jeden fьr eine Zeitlang  vergessen machen, wie ihr tдgliches Leben unter der tyrannischen Herrschaft verloren gehen. AuЯerdem macht es Spass!;;ЎEscuchad, escuchad! Soltemos a Pantalуn, Arlequнn y otros personajes arquetнpicos de la Commedia dell'Arte tradicional entre la confiada poblaciуn, y veamos cуmo se entretienen con sus bufonadas y travesuras. Una buena comedia puede hacer que todos olviden por un rato que sus vidas cotidianas se consumen trabajando bajo el yugo de tirбnicos soberanos. ЎAdemбs, es divertido!;;;;;;;;;x;
military_modernization_muslim_title;Модернизировать армию;Modernisation de l’armйe;Militдrmodernisierung;;Modernizaciуn militar;;;;;;;;;x;
military_modernization_muslim_desc;Мы смогли стать такими же, как наши могущественные соседи. Мы носим их одежду, следуем их обычаям, многие из нас даже говорят на их языке. Однако наши проблемы с армией никуда не делись - она не поддается никаким реформам.;Nous sommes parvenus а hisser notre vie culturelle au niveau de celle de nos puissants voisins. Nous portons leurs vкtements, nous pratiquons leurs coutumes et certains d’entre nous parlent mкme leurs langues. Mais le principal dйfi reste а relever : la modernisation notre l’armйe.;Wir haben es geschafft, unser kulturelles Leben auf das Level unserer mдchtigen Nachbarn zu heben. Wir tragen ihre Kleider, beachten ihre Umgangsformen, einige von uns sprechen sogar ihre Sprache. Die wirkliche Herausforderung, das Militдr, bleibt jedoch.;;Hemos logrado elevar nuestra vida cultural al nivel de nuestros poderosos vecinos. Vestimos sus ropas, practicamos sus costumbres, y algunos de nosotros incluso hablan sus idiomas. El autйntico reto, el militar, sigue ahн no obstante.;;;;;;;;;x;
